Pan I.D.,t,price,brand,feature,choice
10,1,0.103,1,0,0
10,2,0.103,1,0,0
10,3,0.103,1,0,0
10,4,0.103,1,0,0
10,5,0.103,1,0,0
10,6,0.115,1,0,0
10,7,0.108,1,0,0
10,8,0.108,1,0,0
10,9,0.108,1,0,0
10,10,0.057,1,0,0
10,11,0.115,1,0,0
10,12,0.115,1,0,0
10,13,0.115,1,0,0
10,14,0.115,1,0,0
11,1,0.11,1,0,0
11,2,0.11,1,0,0
11,3,0.108,1,0,1
11,4,0.108,1,0,1
11,5,0.11,1,0,0
11,6,0.11,1,0,0
11,7,0.11,1,0,0
11,8,0.11,1,0,0
11,9,0.11,1,0,0
11,10,0.11,1,0,0
12,1,0.103,1,0,0
12,2,0.116,1,0,0
12,3,0.108,1,0,0
12,4,0.108,1,0,0
12,5,0.108,1,0,0
12,6,0.108,1,0,0
12,7,0.109,1,0,0
12,8,0.108,1,0,0
12,9,0.108,1,0,0
13,1,0.103,1,0,0
13,2,0.103,1,0,0
13,3,0.103,1,0,0
13,4,0.103,1,0,0
13,5,0.037,1,0,1
13,6,0.097999997,1,0,1
13,7,0.103,1,0,1
13,8,0.103,1,0,1
13,9,0.103,1,0,1
13,10,0.115,1,0,0
14,1,0.008,1,0,1
14,2,0.108,1,0,1
14,3,0.108,1,0,1
14,4,0.108,1,0,1
14,5,0.108,1,0,1
14,6,0.108,1,0,1
14,7,0.108,1,0,1
14,8,0.108,1,0,1
14,9,0.108,1,0,1
14,10,0.108,1,0,1
14,11,0.108,1,0,1
14,12,0.108,1,0,1
14,13,0.108,1,0,1
15,1,0.125,1,0,0
15,2,0.125,1,0,0
15,3,0.103,1,0,0
15,4,0.103,1,0,0
15,5,0.103,1,0,1
15,6,0.103,1,0,0
15,7,0.103,1,0,1
15,8,0.103,1,0,0
15,9,0.103,1,0,0
15,10,0.103,1,0,1
15,11,0.103,1,0,1
15,12,0.103,1,0,1
15,13,0.103,1,0,1
15,14,0.103,1,0,1
15,15,0.103,1,0,1
15,16,0.103,1,0,1
15,17,0.103,1,0,1
15,18,0.103,1,0,1
15,19,0.103,1,0,1
15,20,0.103,1,0,0
15,21,0.061999999,1,0,1
15,22,0.103,1,0,0
15,23,0.103,1,0,0
15,24,0.103,1,0,0
15,25,0.103,1,0,0
15,26,0.103,1,0,0
15,27,0.103,1,0,0
15,28,0.103,1,0,0
15,29,0.103,1,0,0
15,30,0.103,1,0,0
15,31,0.103,1,0,0
15,32,0.103,1,0,0
15,33,0.103,1,0,0
15,34,0.103,1,0,0
15,35,0.103,1,0,0
15,36,0.103,1,0,0
15,37,0.103,1,0,0
15,38,0.103,1,0,0
15,39,0.103,1,0,0
15,40,0.103,1,0,0
15,41,0.103,1,0,0
15,42,0.103,1,0,0
15,43,0.103,1,0,0
15,44,0.103,1,0,0
15,45,0.103,1,0,0
15,46,0.103,1,0,0
15,47,0.103,1,0,0
15,48,0.103,1,0,0
15,49,0.103,1,0,0
15,50,0.103,1,0,0
15,51,0.103,1,0,0
15,52,0.103,1,0,0
15,53,0.103,1,0,0
15,54,0.103,1,0,0
15,55,0.103,1,0,0
15,56,0.103,1,0,0
15,57,0.103,1,0,0
15,58,0.103,1,0,0
15,59,0.103,1,0,0
15,60,0.193,1,0,0
15,61,0.193,1,0,0
15,62,0.108,1,0,0
15,63,0.115,1,0,0
15,64,0.115,1,0,0
15,65,0.115,1,0,0
15,66,0.115,1,0,0
15,67,0.115,1,0,0
15,68,0.115,1,0,0
15,69,0.115,1,0,0
15,70,0.115,1,0,0
15,71,0.115,1,0,0
15,72,0.115,1,0,0
15,73,0.115,1,0,0
15,74,0.115,1,0,0
15,75,0.115,1,0,0
15,76,0.115,1,0,0
15,77,0.115,1,0,1
15,78,0.115,1,0,1
15,79,0.11,1,0,0
15,80,0.115,1,0,0
15,81,0.115,1,0,0
15,82,0.115,1,0,0
15,83,0.115,1,0,0
15,84,0.115,1,0,0
15,85,0.115,1,0,0
15,86,0.090999998,1,1,0
15,87,0.115,1,0,0
15,88,0.115,1,0,0
15,89,0.115,1,0,0
15,90,0.115,1,0,0
15,91,0.086999997,1,1,0
15,92,0.086999997,1,1,0
15,93,0.086999997,1,1,0
15,94,0.107,1,0,0
15,95,0.107,1,0,0
15,96,0.108,1,0,0
15,97,0.108,1,0,0
15,98,0.108,1,0,0
15,99,0.108,1,0,0
15,100,0.108,1,0,0
15,101,0.108,1,0,0
15,102,0.108,1,0,0
15,103,0.108,1,0,0
15,104,0.108,1,0,0
15,105,0.108,1,0,0
15,106,0.108,1,0,0
15,107,0.108,1,0,0
15,108,0.108,1,0,0
15,109,0.108,1,0,0
15,110,0.108,1,0,0
15,111,0.108,1,0,0
15,112,0.108,1,0,0
15,113,0.108,1,0,0
15,114,0.108,1,0,0
15,115,0.108,1,0,0
15,116,0.108,1,0,0
15,117,0.108,1,0,0
15,118,0.108,1,1,0
15,119,0.122,1,0,0
15,120,0.108,1,1,1
15,121,0.108,1,0,1
15,122,0.108,1,0,1
15,123,0.108,1,0,1
15,124,0.108,1,0,1
15,125,0.108,1,0,1
15,126,0.108,1,0,1
15,127,0.108,1,0,1
15,128,0.108,1,0,1
15,129,0.108,1,0,1
15,130,0.122,1,0,1
15,131,0.025,1,1,1
15,132,0.108,1,1,1
15,133,0.108,1,1,1
15,134,0.108,1,0,0
15,135,0.108,1,0,0
15,136,0.108,1,0,1
15,137,0.108,1,0,1
15,138,0.122,1,0,0
15,139,0.122,1,0,1
15,140,0.122,1,0,1
15,141,0.122,1,0,0
15,142,0.122,1,1,1
15,143,0.122,1,0,1
15,144,0.122,1,0,1
15,145,0.122,1,0,0
15,146,0.122,1,0,0
15,147,0.122,1,0,1
15,148,0.122,1,0,0
15,149,0.122,1,0,0
15,150,0.122,1,0,1
15,151,0.118,1,0,0
15,152,0.122,1,0,1
15,153,0.115,1,0,0
15,154,0.115,1,0,0
15,155,0.082999997,1,0,0
15,156,0.082999997,1,0,0
15,157,0.115,1,0,0
15,158,0.115,1,0,1
15,159,0.115,1,0,0
15,160,0.115,1,0,0
15,161,0.115,1,0,1
15,162,0.115,1,0,0
15,163,0.115,1,0,1
15,164,0.115,1,0,1
15,165,0.115,1,0,1
15,166,0.115,1,0,1
15,167,0.115,1,0,1
15,168,0.115,1,0,0
15,169,0.115,1,0,0
15,170,0.115,1,0,0
15,171,0.115,1,1,0
15,172,0.115,1,1,0
15,173,0.115,1,1,0
15,174,0.115,1,1,0
15,175,0.082999997,1,1,1
15,176,0.082999997,1,1,1
15,177,0.082999997,1,1,1
15,178,0.115,1,0,0
15,179,0.115,1,0,0
15,180,0.057,1,0,0
15,181,0.115,1,0,0
15,182,0.057,1,0,0
15,183,0.057,1,0,0
15,184,0.088,1,0,0
15,185,0.082999997,1,0,0
16,1,0.103,1,0,0
16,2,0.115,1,0,0
16,3,0.122,1,0,0
16,4,0.108,1,0,0
16,5,0.108,1,0,0
16,6,0.108,1,0,0
16,7,0.108,1,0,0
16,8,0.108,1,0,0
16,9,0.115,1,0,0
17,1,0.108,1,0,1
17,2,0.108,1,0,0
17,3,0.090999998,1,1,0
17,4,0.090999998,1,1,0
17,5,0.090999998,1,1,0
17,6,0.122,1,0,1
17,7,0.122,1,0,0
17,8,0.122,1,0,0
17,9,0.122,1,0,0
17,10,0.122,1,0,1
17,11,0.122,1,0,1
17,12,0.122,1,1,1
17,13,0.122,1,1,1
17,14,0.122,1,1,0
17,15,0.122,1,0,0
17,16,0.122,1,0,1
17,17,0.122,1,0,1
17,18,0.122,1,0,1
17,19,0.122,1,0,1
17,20,0.122,1,0,1
17,21,0.122,1,0,1
17,22,0.122,1,0,1
17,23,0.122,1,0,0
17,24,0.122,1,0,1
17,25,0.122,1,0,1
17,26,0.122,1,0,0
17,27,0.122,1,0,0
17,28,0.122,1,0,1
17,29,0.122,1,0,1
17,30,0.122,1,0,0
17,31,0.122,1,0,1
17,32,0.122,1,0,0
17,33,0.122,1,0,1
17,34,0.122,1,0,0
17,35,0.122,1,0,1
17,36,0.122,1,0,1
17,37,0.122,1,0,1
17,38,0.122,1,0,1
17,39,0.122,1,0,0
17,40,0.122,1,0,1
17,41,0.122,1,0,1
18,1,0.108,1,0,0
18,2,0.108,1,0,0
18,3,0.108,1,0,0
18,4,0.115,1,0,1
18,5,0.115,1,0,1
19,1,0.125,1,0,0
19,2,0.125,1,0,0
19,3,0.125,1,0,0
19,4,0.097999997,1,0,0
19,5,0.097999997,1,0,0
19,6,0.097999997,1,0,0
19,7,0.097999997,1,0,0
19,8,0.125,1,0,0
19,9,0.125,1,0,0
19,10,0.125,1,0,0
19,11,0.125,1,0,0
19,12,-0.002,1,0,1
19,13,-0.002,1,0,1
19,14,0.097999997,1,0,1
19,15,0.11,1,0,0
19,16,0.11,1,0,0
19,17,0.125,1,0,0
19,18,0.125,1,0,0
19,19,0.103,1,0,0
19,20,0.103,1,0,0
19,21,0.103,1,0,0
19,22,0.097999997,1,0,0
19,23,0.103,1,0,1
19,24,0.103,1,0,0
19,25,0.103,1,0,0
19,26,0.108,1,0,0
19,27,0.108,1,0,0
19,28,0.108,1,0,0
19,29,0.115,1,0,0
19,30,0.115,1,0,0
19,31,0.115,1,0,1
19,32,0.115,1,0,0
19,33,0.115,1,0,0
19,34,0.115,1,0,0
19,35,0.115,1,0,0
19,36,0.115,1,0,0
19,37,0.115,1,1,0
19,38,0.115,1,0,0
19,39,0.115,1,0,0
19,40,0.108,1,0,0
19,41,0.108,1,0,0
19,42,0.108,1,0,0
19,43,0.108,1,0,0
19,44,0.108,1,0,0
19,45,0.108,1,1,0
19,46,0.108,1,1,0
19,47,0.108,1,0,0
19,48,0.108,1,0,0
19,49,0.108,1,0,0
19,50,0.082999997,1,1,0
19,51,0.122,1,0,0
19,52,0.122,1,0,0
19,53,0.122,1,0,0
19,54,0.085000001,1,0,0
19,55,0.085000001,1,0,0
19,56,0.122,1,0,0
19,57,0.082999997,1,0,0
19,58,0.082999997,1,0,0
19,59,0.112,1,0,0
19,60,0.115,1,0,0
19,61,0.115,1,0,0
19,62,0.115,1,0,0
19,63,0.115,1,0,0
19,64,0.115,1,0,0
19,65,0.115,1,0,0
19,66,0.115,1,1,0
19,67,0.115,1,1,0
19,68,0.071999997,1,0,0
19,69,0.115,1,0,0
19,70,0.115,1,0,0
20,1,0.01,1,0,1
20,2,0.0,1,0,1
20,3,0.108,1,0,1
20,4,0.067000002,1,0,1
20,5,0.07,1,0,1
20,6,0.07,1,0,1
20,7,0.074000001,1,0,1
20,8,0.074000001,1,0,1
20,9,0.039999999,1,0,1
20,10,0.039999999,1,0,1
20,11,0.108,1,0,0
20,12,0.0,1,0,1
20,13,0.0,1,0,1
20,14,0.0,1,0,1
20,15,0.0,1,0,1
20,16,0.0,1,0,1
20,17,0.07,1,0,1
20,18,0.07,1,0,1
20,19,0.0,1,0,1
20,20,0.108,1,0,1
20,21,0.0,1,0,1
20,22,0.108,1,0,1
20,23,0.112,1,0,1
20,24,0.025,1,0,1
20,25,0.108,1,0,1
20,26,0.115,1,0,0
20,27,0.067000002,1,0,1
20,28,0.112,1,0,0
20,29,0.112,1,0,0
20,30,0.112,1,0,0
20,31,0.108,1,0,1
20,32,0.057999998,1,0,1
20,33,0.108,1,0,1
21,1,0.108,1,1,0
21,2,0.132,1,0,0
21,3,0.108,1,0,0
21,4,0.108,1,0,0
21,5,0.122,1,0,0
21,6,0.122,1,0,0
21,7,0.122,1,0,1
21,8,0.122,1,0,0
21,9,0.118,1,0,0
21,10,0.118,1,0,0
21,11,0.115,1,0,1
21,12,0.115,1,0,1
21,13,0.115,1,0,1
21,14,0.115,1,0,1
21,15,0.115,1,0,0
21,16,0.115,1,0,0
21,17,0.082999997,1,1,1
21,18,0.082999997,1,1,1
21,19,0.045000002,1,0,0
22,1,0.115,1,0,1
22,2,0.115,1,0,1
22,3,0.015,1,0,1
22,4,0.115,1,0,1
22,5,0.122,1,0,1
22,6,0.115,1,0,1
22,7,0.122,1,0,1
23,1,0.103,1,0,0
23,2,0.125,1,0,0
23,3,0.125,1,0,0
23,4,0.125,1,0,0
23,5,0.125,1,0,0
23,6,0.103,1,0,0
23,7,0.103,1,0,0
23,8,0.108,1,0,0
23,9,0.108,1,0,0
23,10,0.103,1,0,0
23,11,0.103,1,0,0
23,12,0.103,1,0,0
23,13,0.103,1,0,0
23,14,0.103,1,0,0
23,15,0.115,1,0,0
23,16,0.115,1,0,0
23,17,0.115,1,0,0
23,18,0.115,1,0,0
23,19,0.115,1,0,1
23,20,0.115,1,1,1
23,21,0.115,1,1,1
23,22,0.041999999,1,1,1
23,23,0.108,1,0,0
23,24,0.108,1,0,1
23,25,0.108,1,0,0
23,26,0.122,1,0,1
23,27,0.022,1,0,1
23,28,0.122,1,0,1
23,29,0.122,1,0,0
23,30,0.122,1,0,0
23,31,0.115,1,0,0
23,32,0.115,1,0,1
23,33,0.115,1,0,0
23,34,0.122,1,0,0
23,35,0.122,1,0,0
23,36,0.122,1,0,0
23,37,0.057999998,1,0,0
23,38,0.055,1,0,0
23,39,0.055,1,0,0
23,40,0.122,1,0,0
23,41,0.122,1,0,0
23,42,0.122,1,0,0
23,43,0.122,1,0,0
24,1,0.11,1,0,0
24,2,0.11,1,0,0
24,3,0.11,1,0,0
24,4,0.103,1,0,0
24,5,0.103,1,0,1
24,6,0.108,1,0,0
24,7,0.115,1,0,0
25,1,0.055,1,0,1
25,2,0.055,1,0,1
25,3,0.108,1,0,1
25,4,0.041999999,1,0,1
25,5,-0.012,1,0,1
25,6,0.056000002,1,0,0
25,7,0.056000002,1,0,0
25,8,0.056000002,1,0,0
25,9,0.055,1,0,1
25,10,0.082999997,1,0,0
25,11,0.082999997,1,0,0
25,12,0.082999997,1,1,1
25,13,0.082999997,1,1,1
25,14,0.132,1,0,0
25,15,0.132,1,0,0
25,16,0.132,1,0,0
25,17,0.082999997,1,1,1
25,18,0.082999997,1,1,1
25,19,0.082999997,1,1,1
25,20,0.055,1,0,0
25,21,0.055,1,0,0
26,1,0.103,1,0,0
26,2,0.115,1,1,0
26,3,0.008,1,1,1
26,4,0.055,1,0,1
26,5,0.090000004,1,0,0
26,6,0.082999997,1,0,1
27,1,0.108,1,0,0
27,2,0.108,1,0,0
27,3,0.108,1,0,0
27,4,0.108,1,0,0
27,5,0.108,1,0,0
27,6,0.103,1,0,0
27,7,0.103,1,0,0
27,8,0.103,1,0,0
27,9,0.108,1,0,0
27,10,0.108,1,0,0
27,11,0.103,1,0,0
27,12,0.103,1,0,0
27,13,0.103,1,0,0
27,14,0.108,1,0,0
27,15,0.103,1,0,0
27,16,0.103,1,0,0
27,17,0.103,1,0,0
27,18,0.108,1,0,0
27,19,0.108,1,0,0
28,1,0.103,1,0,0
28,2,0.103,1,0,0
28,3,0.103,1,0,0
28,4,0.115,1,0,0
28,5,0.115,1,0,0
28,6,0.115,1,0,0
28,7,0.115,1,0,0
28,8,0.115,1,0,0
28,9,0.108,1,0,0
28,10,0.108,1,0,0
28,11,0.122,1,0,0
29,1,0.117,1,0,0
29,2,0.108,1,0,0
29,3,0.11,1,0,0
29,4,0.11,1,0,0
29,5,0.112,1,0,0
29,6,0.112,1,0,0
29,7,0.115,1,0,0
29,8,0.115,1,0,0
29,9,0.115,1,0,0
29,10,0.115,1,0,0
29,11,0.115,1,0,0
29,12,0.115,1,0,0
29,13,0.112,1,0,0
30,1,0.103,1,0,0
30,2,0.103,1,0,0
30,3,0.103,1,0,0
30,4,0.103,1,0,0
30,5,0.103,1,0,0
30,6,0.103,1,0,0
30,7,0.108,1,0,0
30,8,0.11,1,0,0
30,9,0.109,1,0,0
30,10,0.109,1,0,0
30,11,0.082999997,1,1,1
30,12,0.108,1,0,1
30,13,0.108,1,1,0
31,1,0.122,1,0,1
31,2,0.122,1,0,1
31,3,0.122,1,0,1
31,4,0.122,1,0,1
31,5,0.122,1,0,1
31,6,0.122,1,0,1
31,7,0.055,1,0,1
31,8,0.055,1,0,1
31,9,0.055,1,0,1
31,10,0.055,1,0,1
31,11,0.092,1,1,1
31,12,0.122,1,0,1
31,13,0.122,1,0,1
31,14,0.122,1,0,1
31,15,0.082999997,1,0,1
31,16,0.082999997,1,0,1
31,17,0.122,1,0,1
31,18,0.115,1,0,1
31,19,0.115,1,0,1
31,20,0.115,1,0,1
31,21,0.115,1,0,1
31,22,0.115,1,0,1
31,23,0.122,1,0,1
31,24,0.122,1,0,1
31,25,0.115,1,0,1
31,26,0.115,1,0,1
31,27,0.115,1,0,1
31,28,0.122,1,0,1
31,29,0.122,1,0,1
31,30,0.122,1,0,1
31,31,0.122,1,0,1
32,1,0.108,1,0,1
32,2,0.115,1,1,1
32,3,0.115,1,0,0
32,4,0.115,1,0,1
32,5,0.108,1,0,1
32,6,0.108,1,0,0
32,7,0.108,1,0,1
32,8,0.108,1,0,1
32,9,0.108,1,0,1
32,10,0.108,1,0,1
32,11,0.108,1,0,1
33,1,0.133,1,0,0
33,2,0.12800001,1,0,0
33,3,0.107,1,0,0
33,4,0.108,1,0,0
33,5,0.108,1,0,0
33,6,0.108,1,0,0
33,7,0.113,1,0,0
33,8,0.108,1,0,0
33,9,0.113,1,0,0
33,10,0.108,1,0,0
33,11,0.108,1,0,0
33,12,0.108,1,0,0
33,13,0.108,1,0,0
33,14,0.108,1,0,0
33,15,0.107,1,0,0
33,16,0.108,1,0,0
33,17,0.108,1,0,0
33,18,0.108,1,0,0
33,19,0.108,1,0,0
33,20,0.108,1,0,0
33,21,0.108,1,0,0
33,22,0.108,1,0,0
33,23,0.108,1,0,0
33,24,0.108,1,0,0
33,25,0.108,1,0,0
33,26,0.108,1,0,0
33,27,0.108,1,0,0
33,28,0.108,1,0,0
33,29,0.11,1,0,0
33,30,0.108,1,0,0
33,31,0.108,1,0,0
33,32,0.115,1,0,0
33,33,0.108,1,0,0
33,34,0.108,1,0,0
33,35,0.108,1,0,0
33,36,0.115,1,0,0
33,37,0.108,1,0,0
33,38,0.108,1,0,0
33,39,0.103,1,0,0
33,40,0.108,1,0,0
33,41,0.108,1,0,0
33,42,0.108,1,0,0
33,43,0.115,1,0,0
33,44,0.115,1,0,0
33,45,0.11,1,0,0
33,46,0.108,1,0,0
33,47,0.108,1,0,0
33,48,0.115,1,0,0
33,49,0.115,1,0,0
33,50,0.108,1,0,0
33,51,0.108,1,0,0
33,52,0.108,1,0,0
33,53,0.108,1,0,0
33,54,0.115,1,0,0
33,55,0.115,1,0,0
33,56,0.115,1,0,0
33,57,0.115,1,0,0
33,58,0.108,1,0,0
33,59,0.108,1,0,0
33,60,0.115,1,0,0
33,61,0.125,1,0,0
33,62,0.108,1,0,0
33,63,0.108,1,0,0
33,64,0.108,1,0,0
33,65,0.108,1,0,0
33,66,0.108,1,0,0
33,67,0.108,1,0,0
33,68,0.108,1,0,0
33,69,0.108,1,0,0
33,70,0.115,1,0,0
33,71,0.115,1,0,0
33,72,0.108,1,0,0
33,73,0.108,1,0,0
33,74,0.108,1,0,0
33,75,0.108,1,0,0
33,76,0.108,1,0,0
33,77,0.108,1,0,0
33,78,0.108,1,0,0
33,79,0.108,1,0,0
33,80,0.108,1,0,0
33,81,0.108,1,0,0
33,82,0.108,1,0,0
33,83,0.108,1,0,0
33,84,0.108,1,0,0
33,85,0.108,1,0,0
33,86,0.108,1,0,0
33,87,0.108,1,0,0
33,88,0.108,1,0,0
33,89,0.108,1,0,0
33,90,0.112,1,0,0
33,91,0.112,1,0,0
33,92,0.116,1,0,0
33,93,0.112,1,0,0
33,94,0.11,1,0,0
33,95,0.122,1,0,0
33,96,0.122,1,0,0
33,97,0.122,1,0,0
33,98,0.122,1,0,0
33,99,0.122,1,0,0
33,100,0.122,1,0,0
33,101,0.122,1,0,0
33,102,0.122,1,0,0
33,103,0.122,1,0,0
33,104,0.122,1,0,0
33,105,0.122,1,0,0
33,106,0.122,1,0,0
33,107,0.122,1,0,0
33,108,0.122,1,0,0
33,109,0.122,1,0,0
33,110,0.122,1,0,0
33,111,0.122,1,0,0
33,112,0.122,1,0,0
33,113,0.122,1,0,0
33,114,0.122,1,0,0
33,115,0.122,1,0,0
33,116,0.122,1,0,0
33,117,0.122,1,0,0
33,118,0.090999998,1,1,0
33,119,0.122,1,0,0
33,120,0.122,1,0,0
33,121,0.125,1,1,0
33,122,0.122,1,0,0
33,123,0.122,1,1,0
33,124,0.122,1,0,0
33,125,0.122,1,0,0
33,126,0.122,1,0,0
33,127,0.122,1,0,0
33,128,0.122,1,0,0
33,129,0.122,1,0,0
33,130,0.122,1,0,0
33,131,0.122,1,0,0
33,132,0.122,1,0,0
33,133,0.122,1,0,0
33,134,0.122,1,0,0
33,135,0.122,1,0,0
33,136,0.122,1,0,0
33,137,0.122,1,0,0
33,138,0.122,1,0,0
33,139,0.122,1,0,0
33,140,0.122,1,0,0
33,141,0.122,1,0,0
33,142,0.122,1,0,0
33,143,0.122,1,0,0
33,144,0.122,1,0,0
33,145,0.122,1,0,0
33,146,0.122,1,0,0
33,147,0.122,1,0,0
33,148,0.122,1,0,0
33,149,0.122,1,0,0
33,150,0.122,1,0,0
33,151,0.122,1,0,0
33,152,0.122,1,0,0
33,153,0.122,1,0,0
33,154,0.122,1,0,0
33,155,0.122,1,0,0
33,156,0.122,1,0,0
33,157,0.122,1,0,0
33,158,0.122,1,0,0
33,159,0.122,1,0,0
33,160,0.122,1,0,0
33,161,0.122,1,0,0
34,1,0.103,1,0,1
34,2,0.103,1,0,1
34,3,0.103,1,0,1
34,4,0.103,1,0,1
34,5,0.103,1,0,1
34,6,0.103,1,0,1
34,7,0.103,1,0,1
34,8,0.103,1,0,1
34,9,0.115,1,0,1
34,10,0.103,1,0,1
34,11,0.103,1,0,1
34,12,0.103,1,0,1
34,13,0.103,1,0,1
34,14,0.108,1,0,1
34,15,0.061999999,1,0,1
34,16,0.108,1,0,1
34,17,0.052999999,1,0,1
34,18,0.103,1,0,1
34,19,0.103,1,0,1
34,20,0.103,1,0,1
34,21,0.103,1,0,1
34,22,0.103,1,0,1
34,23,0.108,1,0,1
34,24,0.103,1,0,1
34,25,0.108,1,0,1
34,26,0.115,1,0,1
34,27,0.115,1,0,1
34,28,0.115,1,0,1
34,29,0.115,1,0,1
34,30,0.115,1,0,1
34,31,0.108,1,0,1
34,32,0.082000002,1,0,1
34,33,0.115,1,0,1
34,34,0.115,1,0,1
34,35,0.115,1,0,1
34,36,0.115,1,0,1
34,37,0.115,1,0,1
34,38,0.115,1,0,1
34,39,0.125,1,0,1
34,40,0.115,1,0,1
34,41,0.115,1,0,1
34,42,0.108,1,1,1
34,43,0.108,1,1,1
34,44,0.122,1,0,1
34,45,0.122,1,0,1
34,46,0.108,1,0,1
34,47,0.108,1,0,1
34,48,0.125,1,0,1
34,49,0.108,1,0,1
34,50,0.108,1,0,1
34,51,0.108,1,0,1
34,52,0.108,1,0,1
34,53,0.108,1,0,1
34,54,0.122,1,0,1
34,55,0.108,1,0,1
34,56,0.108,1,1,1
34,57,0.108,1,0,1
34,58,0.108,1,0,1
34,59,0.108,1,0,1
34,60,0.108,1,1,1
34,61,0.108,1,0,1
34,62,0.108,1,0,1
